Alarm ID,Alarm Name,Description,Probable Causes,Proposed Action
18,Radio Module 4 Over-temperature protected Alarm,,PA Module 4 temperature is too high ,"a). Adjust module 4 downlink attenuation
b). Decrease module 4 output power"
20,OP1 Transceiver Failure Alarm ,Optical link has failed to initiate/maintain connection with the end device,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for all unused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is damaged or connector is dirty
d). Check if the SFP modules at both ends are a mated pair"
21,OP2 Transceiver Failure Alarm,Optical link has failed to initiate/maintain connection with the end device,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for all unused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is damaged or connector is dirty
d). Check if the SFP modules at both ends are a mated pair"
22,OP3 Transceiver Failure Alarm,Optical link has failed to initiate/maintain connection with the end device,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for all unused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is damaged or connector is dirty
d). Check if the SFP modules at both ends are a mated pair"
23,OP4 Transceiver Failure Alarm,Optical link has failed to initiate/maintain connection with the end device,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for all unused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is damaged or connector is dirty
d). Check if the SFP modules at both ends are a mated pair"
24,OP5 Transceiver Failure Alarm,Optical link has failed to initiate/maintain connection with the end device,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for all unused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is damaged or connector is dirty
d). Check if the SFP modules at both ends are a mated pair"
25,OP6 Transceiver Failure Alarm,Optical link has failed to initiate/maintain connection with the end device,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for all unused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is damaged or connector is dirty
d). Check if the SFP modules at both ends are a mated pair"
26,OP7 Transceiver Failure Alarm,Optical link has failed to initiate/maintain connection with the end device,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for all unused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is damaged or connector is dirty
d). Check if the SFP modules at both ends are a mated pair"
27,OP8 Transceiver Failure Alarm,Optical link has failed to initiate/maintain connection with the end device,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for all unused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is damaged or connector is dirty
d). Check if the SFP modules at both ends are a mated pair"
28,OP-slave Transceiver Failure Alarm,,"a). SFP not installed or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for all unused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed
c). Check if the fiber cable is damaged or connector is dirty
d). Check if the SFP modules at both ends are a mated pair"
29,OP-master Transceiver Failure Alarm,,"a). SFP not installed or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for all unused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed
c). Check if the fiber cable is damaged or connector is dirty
d). Check if the SFP modules at both ends are a mated pair"
30,Radio Module1 DL Output Over-power Alarm,Remote Unit DL output power exceeds the user-assigned threshold,"a). The DL input signal exceeds system design parameters
b). The system gain settings have been changed","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
31,Radio Module2 DL Output Over-power Alarm,Remote Unit DL output power exceeds the user-assigned threshold,"a). The DL input signal exceeds system design parameters
b). The system gain settings have been changed","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
32,Radio Module3 DL Output Over-power Alarm,Remote Unit DL output power exceeds the user-assigned threshold,"a). The DL input signal exceeds system design parameters
b). The system gain settings have been changed","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
33,Radio Module4 DL Output Over-power Alarm,Remote Unit DL output power exceeds the user-assigned threshold,"a). The DL input signal exceeds system design parameters
b). The system gain settings have been changed","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
34,Radio Module1 DL Output Under-power Alarm,Remote Unit DL output power is lower than the user-assigned threshold,"a). The DL input signal to AU is lower than expected, perhaps because a BTS has been turned off or removed
b). The DL PA has failed
c). The RF Switch in AU-AC module is turned off
d). The AU-AC module mapping in AU is incorrect","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
35,Radio Module2 DL Output Under-power Alarm,Remote Unit DL output power is lower than the user-assigned threshold,"a). The DL input signal to AU is lower than expected, perhaps because a BTS has been turned off or removed
b). The DL PA has failed
c). The RF Switch in AU-AC module is turned off
d). The AU-AC module mapping in AU is incorrect","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
36,Radio Module3 DL Output Under-power Alarm,Remote Unit DL output power is lower than the user-assigned threshold,"a). The DL input signal to AU is lower than expected, perhaps because a BTS has been turned off or removed
b). The DL PA has failed
c). The RF Switch in AU-AC module is turned off
d). The AU-AC module mapping in AU is incorrect","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
37,Radio Module4 DL Output Under-power Alarm,Remote Unit DL output power is lower than the user-assigned threshold,"a). The DL input signal to AU is lower than expected, perhaps because a BTS has been turned off or removed
b). The DL PA has failed
c). The RF Switch in AU-AC module is turned off
d). The AU-AC module mapping in AU is incorrect","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
38,External1 Alarm,External alarm input is indicating alarm state,"External device, system or environment alarm has triggered","a). Verify that the External alarm input should be activated
b). Check the status of the external device"
39,External2 Alarm,External alarm input is indicating alarm state,"External device, system or environment alarm has triggered","a). Verify that the External alarm input should be activated
b). Check the status of the external device"
40,External3 Alarm,External alarm input is indicating alarm state,"External device, system or environment alarm has triggered","a). Verify that the External alarm input should be activated
b). Check the status of the external device"
41,External4 Alarm,External alarm input is indicating alarm state,"External device, system or environment alarm has triggered","a). Verify that the External alarm input should be activated
b). Check the status of the external device"
44,Open Case Alarm,,The cover has been removed or the internal sensor is broken,"a). Check if the device case is open or warranty seal is broken
b). Disable the alarm or replace equipment"
49,Radio Module1 VSWR Alarm,,"a). Feed cable issue (wet/dirt inside/bent/damaged)
b). RF connector is loose
c). Antenna issue
d). Wrong connection to filter port","a). Check the VSWR value and alarm threshold. The default threshold is 2.5
b). Check if the RU output port is open-load or connector is loose (use correct torque wrench)
c). Check RU port connection to combiner is incorrect band
d). Check the feed cable and antenna"
50,Radio Module2 VSWR Alarm,,"a). Feed cable issue (wet/dirt inside/bent/damaged)
b). RF connector is loose
c). Antenna issue
d). Wrong connection to filter port","a). Check the VSWR value and alarm threshold. The default threshold is 2.5
b). Check if the RU output port is open-load or connector is loose (use correct torque wrench)
c). Check RU port connection to combiner is incorrect band
d). Check the feed cable and antenna"
51,Radio Module1 ALC Over Range Alarm,Downlink ALC range (AU-AC) or Uplink ALC range (RU) has been exceeded. For DL ALC the AU-AC RF Switch is set to OFF. Manual reset is required.,"DL input power at AU, or Uplink input power at RU, is too high and there is no more attenuation left for ALC.","a). Check if the composite DL power in AU-AC (after attenuation) exceeds 0 dBm
b). Check uplink signal for over-power condition or local interference"
52,Radio Module2 ALC Over Range Alarm,Downlink ALC range (AU-AC) or Uplink ALC range (RU) has been exceeded. For DL ALC the AU-AC RF Switch is set to OFF. Manual reset is required.,"DL input power at AU, or Uplink input power at RU, is too high and there is no more attenuation left for ALC.","a). Check if the composite DL power in AU-AC (after attenuation) exceeds 0 dBm
b). Check uplink signal for over-power condition or local interference"
53,Radio Module3 ALC Over Range Alarm,Downlink ALC range (AU-AC) or Uplink ALC range (RU) has been exceeded. For DL ALC the AU-AC RF Switch is set to OFF. Manual reset is required.,"DL input power at AU, or Uplink input power at RU, is too high and there is no more attenuation left for ALC.","a). Check if the composite DL power in AU-AC (after attenuation) exceeds 0 dBm
b). Check uplink signal for over-power condition or local interference"
54,Radio Module4 ALC Over Range Alarm,Downlink ALC range (AU-AC) or Uplink ALC range (RU) has been exceeded. For DL ALC the AU-AC RF Switch is set to OFF. Manual reset is required.,"DL input power at AU, or Uplink input power at RU, is too high and there is no more attenuation left for ALC.","a). Check if the composite DL power in AU-AC (after attenuation) exceeds 0 dBm
b). Check uplink signal for over-power condition or local interference"
55,Radio Module1 Port1 DL Input Under-power Alarm,AU-AC Module 1 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
56,Radio Module1 Port2 DL Input Under-power Alarm,AU-AC Module 1 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
57,Radio Module1 Port3 DL Input Under-power Alarm,AU-AC Module 1 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
58,Radio Module1 Port4 DL Input Under-power Alarm,AU-AC Module 1 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
59,Radio Module1 Port1 DL Input Over-power Alarm,AU-AC Module 1 Port1-4 input power over the rated threshold,AU-AC input power is over the user-defined threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
60,Radio Module1 Port2 DL Input Over-power Alarm,AU-AC Module 1 Port1-4 input power over the rated threshold,AU-AC input power is over the user-defined threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
61,Radio Module1 Port3 DL Input Over-power Alarm,AU-AC Module 1 Port1-4 input power over the rated threshold,AU-AC input power is over the user-defined threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
62,Radio Module1 Port4 DL Input Over-power Alarm,AU-AC Module 1 Port1-4 input power over the rated threshold,AU-AC input power is over the user-defined threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
63,Radio Module2 Port1 DL Input Under-power Alarm,AU-AC Module 2 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
64,Radio Module2 Port2 DL Input Under-power Alarm,AU-AC Module 2 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
65,Radio Module2 Port3 DL Input Under-power Alarm,AU-AC Module 2 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
66,Radio Module2 Port4 DL Input Under-power Alarm,AU-AC Module 2 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
67,Radio Module2 Port1 DL Input Over-power Alarm,AU-AC Module 2 Port1-4 input power over the rated threshold,AU-AC input power is over the user-defined threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
68,Radio Module2 Port2 DL Input Over-power Alarm,AU-AC Module 2 Port1-4 input power over the rated threshold,AU-AC input power is over the user-defined threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
69,Radio Module2 Port3 DL Input Over-power Alarm,AU-AC Module 2 Port1-4 input power over the rated threshold,AU-AC input power is over the user-defined threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
70,Radio Module2 Port4 DL Input Over-power Alarm,AU-AC Module 2 Port1-4 input power over the rated threshold,AU-AC input power is over the user-defined threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
71,Radio Module3 Port1 DL Input Under-power Alarm,AU-AC Module 3 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
72,Radio Module3 Port2 DL Input Under-power Alarm,AU-AC Module 3 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
73,Radio Module3 Port3 DL Input Under-power Alarm,AU-AC Module 3 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
74,Radio Module3 Port4 DL Input Under-power Alarm,AU-AC Module 3 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
75,Radio Module3 Port1 DL Input Over-power Alarm,AU-AC Module 3 Port1-4 input power over the rated threshold,AU-AC input power is over the user-defined threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
76,Radio Module3 Port2 DL Input Over-power Alarm,AU-AC Module 3 Port1-4 input power over the rated threshold,AU-AC input power is over the user-defined threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
77,Radio Module3 Port3 DL Input Over-power Alarm,AU-AC Module 3 Port1-4 input power over the rated threshold,AU-AC input power is over the user-defined threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
78,Radio Module3 Port4 DL Input Over-power Alarm,AU-AC Module 3 Port1-4 input power over the rated threshold,AU-AC input power is over the user-defined threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
79,Radio Module4 Port1 DL Input Under-power Alarm,AU-AC Module 4 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
80,Radio Module4 Port2 DL Input Under-power Alarm,AU-AC Module 4 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
81,Radio Module4 Port3 DL Input Under-power Alarm,AU-AC Module 4 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
82,Radio Module4 Port4 DL Input Under-power Alarm,AU-AC Module 4 Port1-4 input power under the rated threshold,"a). AU-AC input power is under the user-defined threshold
b). There is no input power
c). External attenuator value is too high","a). Check DL input power and the alarm threshold.
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
83,Radio Module4 Port1 DL Input Over-power Alarm,AU-AC Module 4 Port1-4 input power over the rated threshold,AU-AC input power is over the rated threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
84,Radio Module4 Port2 DL Input Over-power Alarm,AU-AC Module 4 Port1-4 input power over the rated threshold,AU-AC input power is over the rated threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
85,Radio Module4 Port3 DL Input Over-power Alarm,AU-AC Module 4 Port1-4 input power over the rated threshold,AU-AC input power is over the rated threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
86,Radio Module4 Port4 DL Input Over-power Alarm,AU-AC Module 4 Port1-4 input power over the rated threshold,AU-AC input power is over the rated threshold,"a). Check DL input power and the alarm threshold. The default threshold is 10dBm
b). Check the input power from BTS if possible
c). Use proper attenuator before AU input port
d). Configure proper attenuation in AU"
87,Optical Port Switch Alarm,The fiber transmission port of a daisy-changed device has toggled from OP-s to OP-m,"The primary fibre path to the device has become disconnetced, and the redundant loopback path has assumed control ","a). Check integrity of the primary optical fibre cable
b). Check if the SFP module in primary optical path has failed
c). Clean optical connectors"
91,Reserved,,,
92,Reserved,,,
93,Reserved,,,
94,Reserved,,,
95,Band Configuration Failure Alarm,"Band Configuration of AU-AC is incorrect, or cummulative bandwidth exceeds the maximum",Band Configuration is incorrect during commissioning,"a). Check the Band Configuration in AU
b). Verify the AU-AC module is the correct band
c). Configure proper bandwidth and DL/UL center frequency
d). Check if the system transmission bandwidth is over the maxmimum value"
96,Radio Module1 Open Load Alarm,,"a). The RF Antenna port is not connected to a load or antenna
b). RF Connector is loose
c). Antenna issue","a). Check if the RU output port is open-load or connector is loose
b). Check if the RU's connection to combiner is incorrect
c). Check the antenna
d). Check if feed cable is wet or dirty inside"
97,Radio Module2 Open Load Alarm,,"a). The RF Antenna port is not connected to a load or antenna
b). RF Connector is loose
c). Antenna issue","a). Check if the RU output port is open-load or connector is loose
b). Check if the RU's connection to combiner is incorrect
c). Check the antenna
d). Check if feed cable is wet or dirty inside"
101,Fan Device Loss Alarm,,The fan has failed,Replace the equipment
112,Radio Module5 DL Output Over-power Alarm,Remote Unit DL output power exceeds the user-assigned threshold,"a). The DL input signal exceeds system design parameters
b). The system gain settings have been changed","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
113,Radio Module6 DL Output Over-power Alarm,Remote Unit DL output power exceeds the user-assigned threshold,"a). The DL input signal exceeds system design parameters
b). The system gain settings have been changed","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
114,Radio Module7 DL Output Over-power Alarm,Remote Unit DL output power exceeds the user-assigned threshold,"a). The DL input signal exceeds system design parameters
b). The system gain settings have been changed","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
115,Radio Module8 DL Output Over-power Alarm,Remote Unit DL output power exceeds the user-assigned threshold,"a). The DL input signal exceeds system design parameters
b). The system gain settings have been changed","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
116,Radio Module5 DL Output Under-power Alarm,Remote Unit DL output power is lower than the user-assigned threshold,"a). The DL input signal to AU is lower than expected, perhaps because a BTS has been turned off or removed
b). The DL PA has failed
c). The RF Switch in AU-AC module is turned off
d). The AU-AC module mapping in AU is incorrect","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
117,Radio Module6 DL Output Under-power Alarm,Remote Unit DL output power is lower than the user-assigned threshold,"a). The DL input signal to AU is lower than expected, perhaps because a BTS has been turned off or removed
b). The DL PA has failed
c). The RF Switch in AU-AC module is turned off
d). The AU-AC module mapping in AU is incorrect","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
118,Radio Module7 DL Output Under-power Alarm,Remote Unit DL output power is lower than the user-assigned threshold,"a). The DL input signal to AU is lower than expected, perhaps because a BTS has been turned off or removed
b). The DL PA has failed
c). The RF Switch in AU-AC module is turned off
d). The AU-AC module mapping in AU is incorrect","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
119,Radio Module8 DL Output Under-power Alarm,Remote Unit DL output power is lower than the user-assigned threshold,"a). The DL input signal to AU is lower than expected, perhaps because a BTS has been turned off or removed
b). The DL PA has failed
c). The RF Switch in AU-AC module is turned off
d). The AU-AC module mapping in AU is incorrect","a). Compare expected DL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
120,Radio Module5 ALC Over Range Alarm,Uplink ALC range (RU) has been exceeded.,Uplink input power at RU is too high and there is no more attenuation left for ALC.,Check uplink signal for over-power condition or local interference
121,Radio Module6 ALC Over Range Alarm,Uplink ALC range (RU) has been exceeded.,Uplink input power at RU is too high and there is no more attenuation left for ALC.,Check uplink signal for over-power condition or local interference
122,Radio Module7 ALC Over Range Alarm,Uplink ALC range (RU) has been exceeded.,Uplink input power at RU is too high and there is no more attenuation left for ALC.,Check uplink signal for over-power condition or local interference
123,Radio Module8 ALC Over Range Alarm,Uplink ALC range (RU) has been exceeded.,Uplink input power at RU is too high and there is no more attenuation left for ALC.,Check uplink signal for over-power condition or local interference
144,Radio Module3 VSWR Alarm,,"a). Feed cable issue (wet/dirt inside/bent/damaged)
b). RF connector is loose
c). Antenna issue
d). Wrong connection to filter port","a). Check the VSWR value and alarm threshold. The default threshold is 2.5
b). Check if the RU output port is open-load or connector is loose (use correct torque wrench)
c). Check RU port connection to combiner is incorrect band
d). Check the feed cable and antenna"
145,Radio Module4 VSWR Alarm,,"a). Feed cable issue (wet/dirt inside/bent/damaged)
b). RF connector is loose
c). Antenna issue
d). Wrong connection to filter port","a). Check the VSWR value and alarm threshold. The default threshold is 2.5
b). Check if the RU output port is open-load or connector is loose (use correct torque wrench)
c). Check RU port connection to combiner is incorrect band
d). Check the feed cable and antenna"
146,RF Link Alarm,,"a). Failure to initialize on powerup
b). Equipment has failed","a). Perform remote reset/re-boot of equipment to reset the RF Link
b). Replace th equipment if it does not clear after 3 attempts or reoccurs frequently"
147,OP9 Transceiver Failure Alarm,OP-transceiver (SFP) failure,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for uniused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is broken or connector is dirty
d). Check if the SFP modules of two sides are a mated pair"
148,OP10 Transceiver Failure Alarm,OP-transceiver (SFP) failure,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for uniused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is broken or connector is dirty
d). Check if the SFP modules of two sides are a mated pair"
